Date,id,GDP Growth,COMPOSITE OUTPUT INDEX,PMI-Manufacturing,PMI-Manu-Employment,PMI-Serv-Employment,Employment-Composite,Input Prices,Output Prices,COMPOSITE OUTPUT INDEX( 0),Manufacturing Index (0),Employment(0),Input Prices(0),Output Prices(0),Covid dummy,Inflation rate (Q-O-Q),period,covid,y_lag
2012-Q2,1,7.185915421571946,56.9754971940152,54.914163589999994,49.94121490198335,50.196470460842974,51.42983682295743,60.035069919112736,56.952476209881645,0.13950994388030394,0.09828327179999988,0.02859673645914853,0.20070139838225473,0.13904952419763292,1,3.21,2012Q2,1,
2012-Q3,2,5.653219301665917,54.9185351252683,52.82216644666667,51.945485607786146,51.178258189972865,51.814694252130636,56.87909782853944,55.58820696798398,0.09837070250536599,0.05644332893333342,0.03629388504261272,0.13758195657078887,0.11176413935967958,1,3.38,2012Q3,1,7.185915421571946
2012-Q4,3,4.366412593147094,54.53070500875018,53.74819640666667,52.72739799485439,51.38619499961476,50.56076121759974,56.05000456561887,54.19238738863618,0.09061410017500364,0.07496392813333344,0.011215224351994806,0.1210000913123774,0.08384774777272355,1,2.06,2012Q4,1,5.653219301665917
2013-Q1,4,6.306254813471285,54.321063598158084,53.12361037666667,51.08745745740554,50.30085395194633,51.06557059023091,55.12384425446801,53.936167237846014,0.08642127196316167,0.06247220753333337,0.021311411804618246,0.10247688508936022,0.07872334475692028,1,1.47,2013Q1,1,4.366412593147094
2013-Q2,5,7.036868243820795,54.210117127814954,50.470537603333334,51.13268258921835,51.031332680465546,51.33978439041166,53.73972302702698,51.698057088497116,0.08420234255629908,0.009410752066666674,0.02679568780823317,0.07479446054053966,0.03396114176994232,1,2.02,2013Q2,1,6.306254813471285
2013-Q3,6,6.871465495385493,51.1324520321141,49.408695316666666,51.221981583099804,51.38441152423435,50.58084118744242,56.519734103725256,51.40651437328387,0.022649040642282046,-0.01182609366666668,0.011616823748848332,0.1303946820745051,0.028130287465677382,1,4.2,2013Q3,1,7.036868243820795
2013-Q4,7,5.430457466900866,47.3802314088817,50.549218223333334,50.626995662856324,50.56962681823969,50.097993663940066,55.786117952632985,52.24444467514734,-0.05239537182236603,0.010984364466666676,0.001959873278801325,0.11572235905265969,0.04488889350294684,1,2.52,2013Q4,1,6.871465495385493
2014-Q1,8,7.848670903085442,48.02815050155433,51.74296800333334,50.14962826153218,50.075582571641235,50.52062382862085,54.59525909009844,51.2631699878212,-0.03943698996891342,0.03485936006666677,0.010412476572416977,0.09190518180196876,0.02526339975642401,1,-1.22,2014Q1,1,5.430457466900866
2014-Q2,9,8.347201778863411,49.60030054318796,51.39410813,50.39381576372916,50.56845833399118,50.467112579109475,54.47525296899795,51.74345494934387,-0.007993989136240743,0.027882162599999986,0.009342251582189504,0.08950505937995899,0.03486909898687742,1,1.82,2014Q2,1,7.848670903085442
2014-Q3,10,6.227694812931666,51.32536938356867,52.12153223333333,50.77411920727039,50.333785458039486,50.06246459691023,54.20370209617854,51.09070528768132,0.02650738767137341,0.04243064466666666,0.0012492919382046353,0.08407404192357078,0.021814105753626335,1,3.45,2014Q3,1,8.347201778863411
2014-Q4,11,7.228715074820942,52.13064332012911,53.1372494,49.925848181305184,50.12816362979623,49.81024821947845,50.756449660761426,50.42309340873487,0.042612866402582196,0.06274498800000003,-0.0037950356104309436,0.01512899321522852,0.00846186817469743,1,0.0,2014Q4,1,6.227694812931666
2015-Q1,12,7.426677385705266,52.49338468010469,52.05469810666667,49.52908613325628,49.93026840724285,49.962884579051,51.73434875560309,50.57764581125904,0.049867693602093796,0.041093962133333405,-0.0007423084189800022,0.03468697511206173,0.01155291622518078,1,-0.06,2015Q1,1,7.228715074820942
2015-Q2,13,7.704383951489046,53.324261119882976,51.75648597,49.92975606529652,49.970225950207364,50.470120024673044,52.56729644534415,51.423989712314345,0.06648522239765953,0.0351297194,0.009402400493460875,0.051345928906882964,0.0284797942462869,1,1.64,2015Q2,1,7.426677385705266
2015-Q3,14,7.568024555192621,50.975326942807236,52.09334611333333,50.227065157079096,50.56496224721449,50.31330941294966,50.55274635842099,50.18693861353153,0.019506538856144714,0.04186692226666665,0.006266188258993139,0.011054927168419795,0.003738772270630619,1,2.33,2015Q3,1,7.704383951489046
2015-Q4,15,9.23762620716978,52.025222409047934,50.02426887666667,49.89047322178828,50.49350981205747,49.89437834917504,51.89409910044902,50.2463460225768,0.04050444818095869,0.0004853775333333488,-0.0021124330164991535,0.037881982008980374,0.004926920451536035,1,1.34,2015Q4,1,7.568024555192621
2016-Q1,16,8.489928655390273,51.48432151224071,51.52645763333334,49.81744845343647,49.92853489964933,50.0984495184661,51.5232968813686,50.78442671679525,0.02968643024481423,0.030529152666666733,0.0019689903693219436,0.030465937627372028,0.015688534335905047,1,-0.13,2016Q1,1,9.23762620716978
2016-Q2,17,9.272365552317295,52.93933823448695,50.96628632666667,50.12359863970495,50.085107336110894,50.52983031126403,53.65040121904054,51.503129024215156,0.05878676468973893,0.01932572653333338,0.010596606225280567,0.07300802438081078,0.030062580484303113,1,2.04,2016Q2,1,8.489928655390273
2016-Q3,18,9.017949613058729,51.60161247674515,52.18065308333333,50.5277018842179,50.52798536502491,50.1607461817225,51.471485166831556,50.34254918580189,0.03203224953490306,0.043613061666666654,0.003214923634450031,0.02942970333663112,0.00685098371603786,1,1.84,2016Q3,1,9.272365552317295
2016-Q4,19,6.3927276791365,53.124664655917684,52.08714361,50.378631713817974,50.06258804183651,49.73699457438929,51.72706923817006,50.14919998201322,0.06249329311835368,0.04174287219999997,-0.0052601085122141455,0.0345413847634012,0.0029839996402644432,1,-0.03,2016Q4,1,9.017949613058729
2017-Q1,20,5.97921376459028,50.67286347216751,51.168504170000006,49.54174074246149,49.8278988990453,50.29751397769192,52.39849291983206,50.52295433054096,0.01345726944335027,0.023370083400000113,0.005950279553838414,0.04796985839664117,0.010459086610819242,1,-0.31,2017Q1,1,6.3927276791365
2017-Q2,21,5.099880261137134,50.80725016075623,51.67908717666666,50.14994491890707,50.360865234292,51.29112614925832,52.6536415062191,51.106208200321184,0.01614500321512466,0.03358174353333325,0.02582252298516636,0.05307283012438205,0.022124164006423683,1,0.69,2017Q2,1,5.97921376459028
2017-Q3,22,7.012044564996621,52.16379642500896,50.08492519,50.39498434178569,51.69413919197182,50.63944630879552,52.47378060838429,52.08986562762002,0.04327592850017922,0.0016985037999999975,0.012788926175910405,0.04947561216768577,0.04179731255240043,1,2.61,2017Q3,1,5.099880261137134
2017-Q4,23,9.079300002943532,48.68407295829578,52.53329974,50.99689626727901,50.486831895501915,51.478074661585765,53.550250189605414,51.626978082547524,-0.026318540834084417,0.05066599479999993,0.029561493231715304,0.07100500379210828,0.032539561650950476,1,1.51,2017Q4,1,7.012044564996621
2018-Q1,24,7.335822466281698,51.52069615319811,51.83287038666666,51.89773266758234,51.28455417797992,51.971493055260105,53.26354539090511,51.50284863032329,0.03041392306396219,0.03665740773333326,0.039429861105202094,0.06527090781810216,0.030056972606465848,1,-0.27,2018Q1,1,9.079300002943532
2018-Q2,25,6.192407878273323,50.98913198665483,51.990317086666664,50.99197745928404,52.41067101936919,52.54764845909238,54.3123803156201,51.48816573250268,0.019782639733096657,0.039806341733333285,0.05095296918184758,0.08624760631240207,0.029763314650053586,1,0.88,2018Q2,1,7.335822466281698
2018-Q3,26,6.554436611959767,51.84368808510735,52.06192055333333,51.61210197978254,52.967401419610816,51.66276957124872,55.12597606284453,51.20347625488146,0.03687376170214705,0.0412384110666666,0.033255391424974336,0.10251952125689058,0.024069525097629167,1,1.69,2018Q3,1,6.192407878273323
2018-Q4,27,5.814696487653707,52.49530604444467,53.445171859999995,51.22008191059786,51.87280518571278,52.061177958186505,53.075398818273435,51.076716224950694,0.04990612088889335,0.0689034371999999,0.0412235591637301,0.061507976365468696,0.021534324499013876,1,0.29,2018Q4,1,6.554436611959767
2019-Q1,28,4.9840544646631075,53.67472408167266,53.630104306666674,51.73376894316836,52.20765777479654,52.08602580774823,51.62359546885628,50.68978477873438,0.07349448163345315,0.07260208613333347,0.04172051615496457,0.0324719093771256,0.013795695574687556,1,-0.4,2019Q1,1,5.814696487653707
2019-Q2,29,4.122118809882524,53.362085283189934,52.20788446666666,51.58857417128252,52.31455468478911,51.92786417421952,51.59995469351609,50.93807358778036,0.06724170566379868,0.04415768933333325,0.03855728348439044,0.031999093870321786,0.018761471755607176,1,1.48,2019Q2,1,4.9840544646631075
2019-Q3,30,3.42327444974901,51.394151546932335,51.770640070000006,51.23176203052364,52.24862231956623,52.102645935268725,51.82618830111039,51.3397211054988,0.027883030938646698,0.03541280140000012,0.04205291870537451,0.03652376602220784,0.026794422109976068,1,2.09,2019Q3,1,4.122118809882524
2019-Q4,31,2.9931737270094216,52.09712198451974,51.50240054,51.19027078270649,52.5378325230331,50.89796667742373,53.3805833269943,51.789351021049235,0.04194243969039477,0.030048010799999927,0.01795933354847463,0.06761166653988596,0.0357870204209847,1,2.57,2019Q4,1,3.42327444974901
2020-Q1,32,-22.8566847760435,52.029717267980914,53.86112940666666,50.30510087505018,51.17148906605323,51.171875352408414,53.15007989949271,51.54720389614376,0.04059434535961828,0.07722258813333326,0.02343750704816827,0.06300159798985419,0.030944077922875266,0,0.38,2020Q1,0,2.9931737270094216
2020-Q2,33,-5.489721797806399,54.80394077406697,35.109782743333334,51.528755783224234,51.00768811004836,45.06960502672637,42.00419542819461,45.251823765911304,0.09607881548133947,-0.2978043451333333,-0.09860789946547258,-0.15991609143610774,-0.09496352468177392,0,1.38,2020Q2,0,-22.8566847760435
2020-Q3,34,1.6693138609041451,19.910500270567663,51.61427407666667,43.70109438357958,45.68199240275225,45.8757456258474,51.64639916320268,50.09088109089472,-0.6017899945886467,0.032285481533333354,-0.08248508748305199,0.032927983264053606,0.001817621817894377,0,2.4,2020Q3,0,-5.489721797806399
2020-Q4,35,3.4290993136095715,45.94630220172371,57.19281786333334,45.14943490500892,46.21089372959913,48.12841853586685,54.56726724019517,50.920250686193,-0.08107395596552579,0.1438563572666668,-0.03743162928266301,0.09134534480390342,0.018405013723860008,0,2.06,2020Q4,0,1.6693138609041451
2021-Q1,36,21.079226034090564,56.3966210143216,56.84969207333333,47.01356502149869,48.629974516425705,48.47036649143198,55.85186983435073,50.37881667697015,0.12793242028643206,0.1369938414666666,-0.03059267017136037,0.11703739668701459,0.007576333539403066,0,-1.03,2021Q1,0,3.4290993136095715
2021-Q2,37,8.73762342336737,56.40287686606243,51.45901556333333,47.558114834816934,48.866631464417246,48.71141133533315,57.723984996233426,51.79511846633905,0.12805753732124855,0.02918031126666662,-0.025771773293336936,0.15447969992466853,0.03590236932678095,0,2.09,2021Q2,0,21.079226034090564
2021-Q3,38,5.463161334178651,48.86419640194569,53.77212175,49.91360380690566,48.17929451395216,49.448609410445094,56.911014429892305,51.3093800120154,-0.022716071961086187,0.07544243499999993,-0.011027811791098116,0.1382202885978461,0.026187600240308057,0,1.9,2021Q3,0,8.73762342336737
2021-Q4,39,4.023036336464787,53.28401594654227,56.34350375666666,50.04529368054529,49.19524406973295,49.717576494074244,58.018391916046546,52.13294967345359,0.06568031893084537,0.12687007513333312,-0.0056484701185151205,0.16036783832093093,0.04265899346907176,0,2.01,2021Q4,0,5.463161334178651
2022-Q1,40,12.798700316567134,58.102190174566886,54.308921139999995,49.20389152725369,49.94341914399094,48.826676843225805,57.421550406013345,51.32022020683673,0.1620438034913377,0.0861784227999999,-0.023466463135483905,0.1484310081202669,0.0264044041367346,0,0.22,2022Q1,0,4.023036336464787
